leaf_path	block_idx	runnability	label	exit_code	bucket	expected_count	actual_lines	expected_match	expected_crash
06_Redirection-and-Pipelines/07_Moving-and-closing-fds.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	1	1	MISSING:1/1	0
06_Redirection-and-Pipelines/07_Moving-and-closing-fds.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	2	1	MISSING:1/2	0
06_Redirection-and-Pipelines/08_Here-documents.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	2	2	MISSING:1/2	0
06_Redirection-and-Pipelines/08_Here-documents.md	2	RUNNABLE	NEUTRAL	0	OK	3	3	OK	0
06_Redirection-and-Pipelines/08_Here-documents.md	3	RUNNABLE	NEUTRAL	141	CRASH	3	1	-	0
06_Redirection-and-Pipelines/09_Here-strings.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	2	2	MISSING:1/2	0
06_Redirection-and-Pipelines/09_Here-strings.md	2	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
06_Redirection-and-Pipelines/10_Process-substitution-as-redirection.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	1	0	MISSING:1/1	0
06_Redirection-and-Pipelines/10_Process-substitution-as-redirection.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	3	2	MISSING:1/3	0
06_Redirection-and-Pipelines/11_Order-of-evaluation.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	2	1	MISSING:2/2	0
06_Redirection-and-Pipelines/11_Order-of-evaluation.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	2	0	MISSING:2/2	0
06_Redirection-and-Pipelines/11_Order-of-evaluation.md	3	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
06_Redirection-and-Pipelines/12_exec-for-fd-manipulation.md	1	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
06_Redirection-and-Pipelines/12_exec-for-fd-manipulation.md	3	RUNNABLE	NEUTRAL	127	CRASH	0	0	-	0
06_Redirection-and-Pipelines/12_exec-for-fd-manipulation.md	4	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
06_Redirection-and-Pipelines/13_Pipelines.md	1	RUNNABLE	NEUTRAL	127	CRASH	3	2	-	0
06_Redirection-and-Pipelines/14_Stderr-pipelines.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	4	4	MISSING:4/4	0
06_Redirection-and-Pipelines/15_pipefail-semantics.md	2	RUNNABLE	NEUTRAL	127	CRASH	1	0	-	0
07_Control-Flow-and-Compound-Commands/02_ifelifelsefi.md	2	RUNNABLE	NEUTRAL	1	CRASH	1	0	-	0
07_Control-Flow-and-Compound-Commands/02_ifelifelsefi.md	3	RUNNABLE	NEUTRAL	1	CRASH	2	0	-	0
07_Control-Flow-and-Compound-Commands/02_ifelifelsefi.md	4	RUNNABLE	NEUTRAL	0	MISMATCH	2	1	MISSING:2/2	0
07_Control-Flow-and-Compound-Commands/02_ifelifelsefi.md	5	RUNNABLE	NEUTRAL	127	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/03_caseesac.md	2	RUNNABLE	NEUTRAL	1	CRASH	2	0	-	0
07_Control-Flow-and-Compound-Commands/03_caseesac.md	3	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/03_caseesac.md	4	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/03_caseesac.md	5	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/03_caseesac.md	6	RUNNABLE	MIXED	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/04_for-x-in-list.md	2	RUNNABLE	MIXED	127	CRASH	2	0	-	0
07_Control-Flow-and-Compound-Commands/04_for-x-in-list.md	3	RUNNABLE	NEUTRAL	127	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/04_for-x-in-list.md	4	RUNNABLE	NEUTRAL	0	NO_EXPECTED	0	0	-	0
07_Control-Flow-and-Compound-Commands/04_for-x-in-list.md	5	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/05_C-style-for.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	1	4	MISSING:1/1	0
07_Control-Flow-and-Compound-Commands/05_C-style-for.md	3	RUNNABLE	NEUTRAL	124	TIMEOUT	0	0	-	0
07_Control-Flow-and-Compound-Commands/06_whileuntil.md	2	RUNNABLE	NEUTRAL	127	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/08_Subshell-grouping.md	2	RUNNABLE	MIXED	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/08_Subshell-grouping.md	3	RUNNABLE	NEUTRAL	0	MISMATCH	4	0	MISSING:4/4	0
07_Control-Flow-and-Compound-Commands/09_Brace-grouping.md	2	RUNNABLE	MIXED	127	CRASH	2	0	-	0
07_Control-Flow-and-Compound-Commands/09_Brace-grouping.md	3	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/10_and-short-circuits.md	1	RUNNABLE	NEUTRAL	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/10_and-short-circuits.md	3	RUNNABLE	RIGHT	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/10_and-short-circuits.md	4	RUNNABLE	RIGHT	1	CRASH	0	0	-	0
07_Control-Flow-and-Compound-Commands/11_break-and-continue.md	1	RUNNABLE	NEUTRAL	0	MISMATCH	2	1	MISSING:2/2	0
07_Control-Flow-and-Compound-Commands/11_break-and-continue.md	2	RUNNABLE	NEUTRAL	0	MISMATCH	1	0	MISSING:1/1	0
07_Control-Flow-and-Compound-Commands/12_return.md	1	RUNNABLE	NEUTRAL	0	OK	1	1	OK	0
07_Control-Flow-and-Compound-Commands/12_return.md	2	RUNNABLE	NEUTRAL	2	CRASH	1	0	-	0
07_Control-Flow-and-Compound-Commands/13_exit.md	1	RUNNABLE	NEUTRAL	7	CRASH	2	2	-	0
07_Control-Flow-and-Compound-Commands/13_exit.md	2	RUNNABLE	NEUTRAL	3	CRASH	3	3	-	0
07_Control-Flow-and-Compound-Commands/14_true-false.md	1	RUNNABLE	NEUTRAL	0	MISSING_ANNOT	0	3	-	0
08_Conditional-Expressions-and-Arithmetic/01_overview.md	1	RUNNABLE	NEUTRAL	1	CRASH	2	0	-	0
08_Conditional-Expressions-and-Arithmetic/01_overview.md	2	RUNNABLE	NEUTRAL	0	OK	3	3	OK	0
